"time(s)","Remaining (Total)","Exited (Total)","Floor 0.0 m->Door02","Floor 0.0 m->Door02 width(m)","Floor 0.0 m->Door02 total boundary(m)","Floor 0.0 m->Door02 [+X]","Floor 0.0 m->Door02 [-X]","Floor 0.0 m->Door04","Floor 0.0 m->Door04 width(m)","Floor 0.0 m->Door04 total boundary(m)","Floor 0.0 m->Door05","Floor 0.0 m->Door05 width(m)","Floor 0.0 m->Door05 total boundary(m)","Floor 3.0 m->Door01","Floor 3.0 m->Door01 width(m)","Floor 3.0 m->Door01 total boundary(m)","Floor 3.0 m->Door01 [+X]","Floor 3.0 m->Door01 [-X]","Floor 6.0 m->Door00","Floor 6.0 m->Door00 width(m)","Floor 6.0 m->Door00 total boundary(m)","Floor 6.0 m->Door00 [+X]","Floor 6.0 m->Door00 [-X]","Stair05 door 1","Stair05 door 1 width(m)","Stair05 door 1 total boundary(m)","Stair05 door 1 [+Y]","Stair05 door 1 [-Y]","Stair05 door 2","Stair05 door 2 width(m)","Stair05 door 2 total boundary(m)","Stair05 door 2 [+Y]","Stair05 door 2 [-Y]","Stair06 door 1","Stair06 door 1 width(m)","Stair06 door 1 total boundary(m)","Stair06 door 1 [+Y]","Stair06 door 1 [-Y]","Stair06 door 2","Stair06 door 2 width(m)","Stair06 door 2 total boundary(m)","Stair06 door 2 [+Y]","Stair06 door 2 [-Y]","Stair07 door 1","Stair07 door 1 width(m)","Stair07 door 1 total boundary(m)","Stair07 door 1 [+Y]","Stair07 door 1 [-Y]","Stair07 door 2","Stair07 door 2 width(m)","Stair07 door 2 total boundary(m)","Stair07 door 2 [+Y]","Stair07 door 2 [-Y]","Stair08 door 1","Stair08 door 1 width(m)","Stair08 door 1 total boundary(m)","Stair08 door 1 [+Y]","Stair08 door 1 [-Y]","Stair08 door 2","Stair08 door 2 width(m)","Stair08 door 2 total boundary(m)","Stair08 door 2 [+Y]","Stair08 door 2 [-Y]","Stair10 door 1","Stair10 door 1 width(m)","Stair10 door 1 total boundary(m)","Stair10 door 1 [+Y]","Stair10 door 1 [-Y]","Stair10 door 2","Stair10 door 2 width(m)","Stair10 door 2 total boundary(m)","Stair10 door 2 [+Y]","Stair10 door 2 [-Y]","Stair11 door 1","Stair11 door 1 width(m)","Stair11 door 1 total boundary(m)","Stair11 door 1 [+Y]","Stair11 door 1 [-Y]","Stair11 door 2","Stair11 door 2 width(m)","Stair11 door 2 total boundary(m)","Stair11 door 2 [+Y]","Stair11 door 2 [-Y]"
0.0000,55,0,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
1.0000,55,0,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
2.0000,55,0,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
3.0000,54,1,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
4.0000,54,1,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
5.0000,53,2,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,1,0.813,0.000,0,1,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
6.0000,52,3,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
7.0000,50,5,0,0.813,0.000,0,0,1,0.813,0.000,1,0.813,0.000,1,0.813,0.000,0,1,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
8.0000,49,6,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
9.0000,46,9,0,0.813,0.000,0,0,2,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,1,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
10.0000,45,10,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,2,1.219,0.000,0,2,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1
11.0000,43,12,0,0.813,0.000,0,0,1,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
12.0000,42,13,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
13.0000,41,14,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,2,1.219,0.000,2,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0,2,1.219,0.000,0,2
14.0000,40,15,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
15.0000,40,15,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
16.0000,40,15,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,2,1.219,0.000,0,2,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
17.0000,40,15,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0
18.0000,40,15,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0
19.0000,40,15,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
20.0000,40,15,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0
21.0000,40,15,1,0.813,0.000,1,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,1,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,0,1
22.0000,40,15,1,0.813,0.000,1,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
23.0000,39,16,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0
24.0000,38,17,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0
25.0000,37,18,1,0.813,0.000,1,0,1,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
26.0000,36,19,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0
27.0000,36,19,1,0.813,0.000,1,0,0,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,2,1.219,0.000,0,2,1,1.219,0.000,0,1,0,1.219,0.000,0,0
28.0000,35,20,1,0.813,0.000,1,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0
29.0000,34,21,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0
30.0000,34,21,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0
31.0000,33,22,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0
32.0000,32,23,1,0.813,0.000,1,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
33.0000,31,24,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,2,1.219,0.000,2,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0
34.0000,30,25,1,0.813,0.000,1,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
35.0000,29,26,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,2,1.219,0.000,2,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
36.0000,28,27,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
37.0000,27,28,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,0,1,0,1.219,0.000,0,0
38.0000,27,28,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,2,1.219,0.000,2,0,2,1.219,0.000,2,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,1,1.219,0.000,0,1
39.0000,27,28,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,1,0.813,0.000,0,1,0,0.813,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0
40.0000,26,29,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
