"time(s)","Remaining (Total)","Exited (Total)","Floor 0.0 m->Room00","Floor 0.0 m->Room01","Floor 0.0 m->Room01_1","Floor 0.0 m->Stair05","Floor 0.0 m->Stair06","Floor 0.0 m->Stair11","Floor 3.0 m->Room00_1","Floor 3.0 m->Room01_1","Floor 3.0 m->Room01_1_1","Floor 3.0 m->Stair07","Floor 3.0 m->Stair08","Floor 3.0 m->Stair10","Floor 6.0 m->Room00_2","Floor 6.0 m->Room01_2"
0.00,55,0,14,0,0,0,0,0,14,0,0,0,0,0,27,0
1.00,55,0,14,0,0,0,0,0,14,0,0,0,0,0,27,0
2.00,55,0,14,0,0,0,0,1,13,0,0,0,0,0,27,0
3.00,54,1,13,0,0,0,0,1,13,0,0,0,0,0,26,1
4.00,54,1,13,0,0,0,0,2,12,0,0,0,1,1,24,1
5.00,53,2,12,0,0,0,0,3,10,1,0,0,2,2,22,1
6.00,52,3,11,0,0,0,1,3,10,0,0,0,2,3,21,1
7.00,50,5,9,0,0,0,1,3,9,1,1,0,2,4,19,1
8.00,49,6,8,0,0,0,1,4,8,1,1,0,2,5,18,1
9.00,46,9,5,0,0,0,2,5,7,0,1,1,2,5,17,1
10.00,45,10,5,0,1,0,1,5,6,0,2,1,1,7,14,2
11.00,43,12,3,0,1,0,1,6,5,0,1,2,2,8,13,1
12.00,42,13,2,0,2,0,0,6,5,1,2,1,1,8,12,2
13.00,41,14,1,0,1,1,0,8,4,1,1,2,3,8,10,1
14.00,40,15,0,0,1,1,1,8,4,1,1,1,3,9,9,1
15.00,40,15,0,0,0,2,1,8,4,2,1,1,2,9,9,1
16.00,40,15,0,0,0,2,2,9,3,1,1,1,3,11,6,1
17.00,40,15,1,1,1,1,1,8,4,1,2,1,2,10,5,2
18.00,40,15,2,1,1,1,2,7,3,2,1,1,3,11,3,2
19.00,40,15,2,2,1,1,1,8,2,2,2,1,3,11,3,1
20.00,40,15,2,2,1,1,2,8,3,1,2,1,3,11,1,2
21.00,40,15,3,1,1,2,1,9,3,1,2,2,3,10,1,1
22.00,40,15,4,1,1,1,2,9,3,0,2,2,3,11,0,1
23.00,39,16,3,1,1,2,1,9,4,1,2,2,2,10,0,1
24.00,38,17,3,2,1,1,1,8,5,1,2,2,3,9,0,0
25.00,37,18,3,1,2,1,0,8,4,3,2,2,2,9,0,0
26.00,36,19,3,2,1,1,1,7,4,2,1,3,2,9,0,0
27.00,36,19,5,1,1,1,2,6,5,3,2,2,1,7,0,0
28.00,35,20,6,0,0,2,3,5,6,2,2,2,1,6,0,0
29.00,34,21,6,1,0,1,3,4,6,4,1,2,1,5,0,0
30.00,34,21,6,1,1,1,3,4,6,4,2,2,0,4,0,0
31.00,33,22,6,2,1,0,4,3,6,4,2,1,0,4,0,0
32.00,32,23,6,1,2,0,3,3,6,4,1,2,0,4,0,0
33.00,31,24,6,1,1,1,5,2,6,3,1,2,0,3,0,0
34.00,30,25,6,0,2,1,4,2,6,4,1,1,0,3,0,0
35.00,29,26,5,0,2,1,6,2,5,3,0,2,0,3,0,0
36.00,28,27,4,0,2,2,5,2,5,3,0,2,0,3,0,0
37.00,27,28,4,1,2,1,5,1,5,5,0,1,0,2,0,0
38.00,27,28,4,1,4,1,5,2,5,3,0,1,0,1,0,0
39.00,27,28,5,1,3,2,5,1,4,4,0,1,0,1,0,0
40.00,26,29,4,1,4,2,5,1,4,4,0,0,0,1,0,0
41.00,25,30,4,1,3,2,6,1,4,4,0,0,0,0,0,0
42.00,24,31,3,1,3,3,5,1,4,4,0,0,0,0,0,0
43.00,24,31,3,2,4,2,5,1,4,3,0,0,0,0,0,0
44.00,24,31,3,2,2,4,6,1,4,2,0,0,0,0,0,0
45.00,23,32,4,1,4,4,4,0,3,3,0,0,0,0,0,0
46.00,22,33,3,2,4,3,5,0,3,2,0,0,0,0,0,0
47.00,22,33,4,1,3,4,6,0,2,2,0,0,0,0,0,0
48.00,21,34,3,2,3,4,5,0,2,2,0,0,0,0,0,0
49.00,20,35,2,3,3,3,6,0,2,1,0,0,0,0,0,0
50.00,19,36,2,3,3,3,5,0,2,1,0,0,0,0,0,0
51.00,18,37,1,4,3,3,5,0,1,1,0,0,0,0,0,0
52.00,18,37,2,3,4,3,4,0,1,1,0,0,0,0,0,0
53.00,17,38,2,2,3,4,5,0,1,0,0,0,0,0,0,0
54.00,17,38,2,3,3,4,4,0,0,1,0,0,0,0,0,0
55.00,16,39,2,3,3,3,4,0,0,1,0,0,0,0,0,0
56.00,15,40,2,3,3,3,3,0,0,1,0,0,0,0,0,0
57.00,15,40,2,3,2,4,4,0,0,0,0,0,0,0,0,0
58.00,14,41,2,2,4,4,2,0,0,0,0,0,0,0,0,0
59.00,13,42,2,3,3,3,2,0,0,0,0,0,0,0,0,0
60.00,13,42,3,2,3,3,2,0,0,0,0,0,0,0,0,0
61.00,12,43,2,3,3,3,1,0,0,0,0,0,0,0,0,0
62.00,11,44,2,2,3,3,1,0,0,0,0,0,0,0,0,0
63.00,11,44,2,3,3,2,1,0,0,0,0,0,0,0,0,0
64.00,10,45,2,2,2,3,1,0,0,0,0,0,0,0,0,0
65.00,9,46,1,2,2,4,0,0,0,0,0,0,0,0,0,0
66.00,9,46,2,2,2,3,0,0,0,0,0,0,0,0,0,0
67.00,8,47,1,2,2,3,0,0,0,0,0,0,0,0,0,0
68.00,8,47,2,2,1,3,0,0,0,0,0,0,0,0,0,0
69.00,7,48,1,2,1,3,0,0,0,0,0,0,0,0,0,0
70.00,7,48,2,2,1,2,0,0,0,0,0,0,0,0,0,0
71.00,6,49,1,2,0,3,0,0,0,0,0,0,0,0,0,0
72.00,6,49,2,2,0,2,0,0,0,0,0,0,0,0,0,0
73.00,5,50,1,2,0,2,0,0,0,0,0,0,0,0,0,0
74.00,5,50,2,1,0,2,0,0,0,0,0,0,0,0,0,0
75.00,4,51,1,1,0,2,0,0,0,0,0,0,0,0,0,0
76.00,3,52,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77.00,3,52,1,1,0,1,0,0,0,0,0,0,0,0,0,0
78.00,3,52,1,1,0,1,0,0,0,0,0,0,0,0,0,0
79.00,2,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0
80.00,2,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0
81.00,2,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82.00,2,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83.00,2,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84.00,2,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0
85.00,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86.00,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87.00,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87.78,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
